Team,Player,Pass,TD2,INT2,Att2,Comp2,Year2
Chiefs,Patrick Mahomes,4839,37,13,658,436,2021-22
Chargers,Justin Herbert,5014,38,15,672,443,2021-22
Buccaneers,Tom Brady,5316,43,12,719,485,2021-22
Vikings,Kirk Cousins,4221,33,7,561,372,2021-22
Bengals,Joe Burrow,4611,34,14,520,366,2021-22
Lions,Jared Goff,3245,19,8,494,332,2021-22
Bills,Josh Allen,4407,36,15,646,409,2021-22
Seahawks,Geno Smith,702,5,1,95,65,2021-22
Jaguars,Trevor Lawrence,3641,12,17,602,359,2021-22
Eagles,Jalen Hurts,3144,16,9,432,265,2021-22
Packers,Aaron Rodgers,4115,37,4,531,366,2021-22
Dolphins,Tua Tagovailoa,2653,16,10,388,263,2021-22
Seahawks,Russell Wilson,3113,25,6,400,259,2021-22
Raiders,Derek Carr,4804,23,14,626,428,2021-22
Giants,Daniel Jones,2428,9,7,361,232,2021-22
Texans,Davis Mills,2664,16,10,394,263,2021-22
Falcons,Matt Ryan,3968,20,12,560,375,2021-22
Patriots,Mac Jones,3801,22,13,521,352,2021-22
Saints,Andy Dalton,1515,8,9,236,149,2021-22
Cowboys,Dak Prescott,4449,37,10,596,410,2021-22
Browns,Jacoby Brissett,1283,5,4,225,141,2021-22
Titans,Ryan Tannehill,3734,21,14,531,357,2021-22
49ers,Jimmy Garoppolo,3810,20,12,441,301,2021-22
Steelers  ,Kenny Pickett,0,0,0,0,0,2021-22
Cardinals,Kyler Murray,3787,24,10,481,333,2021-22
Bears,Justin Fields,1870,7,10,270,159,2021-22
Ravens,Lamar Jackson,2882,16,13,382,246,2021-22
Falcons,Marcus Mariota,0,0,0,0,0,2021-22
Rams,Baker Mayfield,3010,17,13,418,253,2021-22
Rams,Matthew Stafford,4886,41,17,601,404,2021-22
Commanders,Taylor Heinicke,3419,20,15,494,321,2021-22
Colts,Carson Wentz,3563,27,7,516,322,2021-22
Jets,Zach Wilson,2334,9,11,383,213,2021-22
49ers,Brock Purdy,0,0,0,0,0,2021-22
Steelers,Mitchell Trubisky,43,0,1,8,6,2021-22
Jets,Mike White,953,5,8,132,88,2021-22
Panthers,Sam Darnold,2527,9,13,406,243,2021-22
Browns,Deshaun Watson,0,0,0,0,0,2021-22
Jets,Joe Flacco,338,3,0,42,27,2021-22
Cowboys,Cooper Rush,422,3,1,47,30,2021-22
Saints,Jameis Winston,1170,14,3,161,95,2021-22
Patriols,Bailey Zappe,0,0,0,0,0,2021-22
Cardinals,Colt McCoy,740,3,1,99,74,2021-22
Panthers,PJ Walker,362,1,3,66,36,2021-22
Falcons,Desmond Ridder,0,0,0,0,0,2021-22
Dolphins,Teddy Bridgewater,3052,18,7,426,285,2021-22
Eagles,Gardner Minshew,439,4,1,60,41,2021-22
Ravens,Tyler Huntley,1081,3,4,188,122,2021-22
Raiders,Jarrett Stidham,0,0,0,0,0,2021-22
Colts  ,Sam Ehlinger,0,0,0,0,0,2021-22
Dolphins,Skylar Thompson,0,0,0,0,0,2021-22
Broncos,Brett Rypien,0,0,0,0,0,2021-22
Texans,Kyle Allen,120,0,0,19,12,2021-22
Cardinals,Trace McSorley,0,0,0,0,0,2021-22
Raiders,Joshua Dobbs,0,0,0,0,0,2021-22
Lions,David Blough,0,0,0,0,0,2021-22
Rams,John Wolford,0,0,0,0,0,2021-22
Ravens,Anthony Brown,0,0,0,0,0,2021-22
Titans,Malik Willis,0,0,0,0,0,2021-22
Saints,Taysom Hill,978,4,5,134,78,2021-22
Colts,Nick Foles,250,1,0,35,24,2021-22
vikings,Nick Mullens,147,1,0,30,20,2021-22
Packers,Jordan Love,411,2,3,62,36,2021-22
49ers,Trey Lance,603,5,2,71,41,2021-22
Bears,Trevor Siemian,1154,11,3,188,108,2021-22
Commanders,Sam Howell,0,0,0,0,0,2021-22
Giants,Davis Webb,0,0,0,0,0,2021-22
Rams,Bryce Perkins,0,0,0,0,0,2021-22
Bears,Nathan Peterman,0,0,0,0,0,2021-22
Texans,Jeff Driskel,0,0,0,0,0,2021-22
Cardinals,Chris Streveler,36,0,0,9,6,2021-22
Colts,Jacob Eason,0,0,0,0,0,2021-22
Giants,Tyrod Taylor,966,5,5,150,91,2021-22
Chargers,Chase Daniel,0,0,0,0,0,2021-22